ID,Name,Description,Icon,Level{Item}
1,Gil,Standard Eorzean currency.,65002,1
2,Fire Shard,A tiny crystalline manifestation of aetheric fire energy.,20001,1
3,Ice Shard,A tiny crystalline manifestation of aetheric ice energy.,20003,1
4,Wind Shard,A tiny crystalline manifestation of aetheric wind energy.,20004,1
5,Earth Shard,A tiny crystalline manifestation of aetheric earth energy.,20006,1
6,Lightning Shard,A tiny crystalline manifestation of aetheric lightning energy.,20005,1
7,Water Shard,A tiny crystalline manifestation of aetheric water energy.,20002,1
8,Fire Crystal,A crystalline manifestation of aetheric fire energy.,20007,25
9,Ice Crystal,A crystalline manifestation of aetheric ice energy.,20009,25
10,Wind Crystal,A crystalline manifestation of aetheric wind energy.,20010,25
11,Earth Crystal,A crystalline manifestation of aetheric earth energy.,20012,25
12,Lightning Crystal,A crystalline manifestation of aetheric lightning energy.,20011,25
13,Water Crystal,A crystalline manifestation of aetheric water energy.,20008,25
14,Fire Cluster,A large crystalline manifestation of aetheric fire energy.,20013,50
15,Ice Cluster,A large crystalline manifestation of aetheric ice energy.,20015,50
16,Wind Cluster,A large crystalline manifestation of aetheric wind energy.,20016,50
17,Earth Cluster,A large crystalline manifestation of aetheric earth energy.,20018,50
18,Lightning Cluster,A large crystalline manifestation of aetheric lightning energy.,20017,50
19,Water Cluster,A large crystalline manifestation of aetheric water energy.,20014,50
20,Storm Seal,Grand Company currency printed and distributed by the Maelstrom.,65004,1
21,Serpent Seal,Grand Company currency printed and distributed by the Order of the Twin Adder.,65005,1
22,Flame Seal,Grand Company currency printed and distributed by the Immortal Flames.,65006,1
23,Allagan Tomestone of Philosophy,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65012,1
24,Allagan Tomestone of Mythology,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65013,1
25,Wolf Mark,Currency printed and distributed by the Alliance.,65014,55
26,Allagan Tomestone of Soldiery,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65022,1
27,Allied Seal,Yet another currency printed and distributed by the Eorzean Alliance. Rewarded for slaying marks specified in the Hunt.,65024,1
28,Allagan Tomestone of Poetics,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65023,1
29,MGP,Official currency of the Manderville Gold Saucer. Redeemable only on Manderville property.,65025,1
30,Allagan Tomestone of Law,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65032,1
31,Allagan Tomestone of Esoterics,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65033,1
32,Allagan Tomestone of Lore,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65038,1
33,Allagan Tomestone of Scripture,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65041,1
34,Allagan Tomestone of Verity,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65045,1
35,Allagan Tomestone of Creation,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",65046,1
